"","Name0","score","score.1","score.2","score.3","score.4","score.5","score.6","score.7","score.8","score.9"
"1","MRC-18A-2735",0.00283700454801374,0.0215704122694157,0.019610801333641,0.0284395770963027,0.0126869493854621,0.0274216975347632,0.0148616642216941,0.0119258310035909,0.0129775519021301,0.0152192367799867
"2","MRC-18A-4180",-0.0019526703130404,0.0237102297303379,0.0130757869976352,0.0233491309463974,0.0072285291493094,0.0253621629866965,0.0153242375194253,0.00649100669785379,0.0139627982836122,0.150856717801798
"3","MRC-18A-4498",0.00458430356808068,0.0132726887500169,0.0172533650962564,0.0961664461715775,0.00645363266946942,0.0275566904914776,0.0127228568981084,0.00486569975768065,0.0147080848159922,0.0158201098014493
"4","MRC-18A-5885",0.00210874507749595,0.0210755635456142,0.0262878686325486,0.0941090556562782,-0.00349474138361565,0.0217825119670947,0.0184508789490152,0.0105528934978057,0.0127114164744999,0.0169670831791517
"5","MRC-18A-5893",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","MRC-18A-4888",0.00322471415441876,0.0114807606083848,0.0233499816838587,0.0269542994080391,0.0109153988563262,0.0274406227201642,0.0154559629981735,0.0173323981459081,0.01057923382452,0.167098316035193
"7","MRC-18A-5479",0.00184026104387101,0.0149485073290588,0.0217278366095864,0.014531353831105,0.00539619594028147,0.0209950503261188,0.0109202479929833,0.00853650561131116,0.0085453828437751,0.0208542730479675
"8","MRC-18A-5587",0.00532129139081092,0.0190489863833167,0.0168234024355298,0.10168755648573,0.00720451490435103,0.0257978992061586,0.0157874479995408,0.00890997567751434,0.0181838014620778,0.0130729134537449
"9","MRC-18A-3497",0.00314484686507285,0.0359214752098845,0.0260489576694782,0.102215515168206,0.0171861814668359,0.0350554725979065,0.0166355460040027,0.00830862001668304,0.0140201658239622,0.0191769115334451
"10","MRC-18A-3538",0.00940032482584738,0.0263653256921441,0.0269912398066262,0.106167798357219,0.0187885188868497,0.0297243577938467,0.020810313934915,0.020064363336596,0.02078451234335,0.0227360478135269
"11","MRC-18A-3539",0.00362448302964,0.0220969164998898,0.0237008347917975,0.0224625039093406,0.0111457347657084,0.0318029996388833,0.0146743043384425,0.0161026268336487,0.0156498508328237,0.016253781372791
"12","MRC-18A-3540",0.00531051728673343,0.0236384724428055,0.0184976358107953,0.097919417607084,0.0159029141825335,0.0298569971433993,0.0199872597431583,0.0132119066130524,0.0171717936493564,0.0223933040008694
"13","MRC-18A-3531",0.00889618822101754,0.02461638383364,0.021002103261944,0.0224979118921867,0.0212852025440677,0.0236971116263881,0.0173128089757988,0.0180345239240076,0.0202906473717831,0.0179885478899797
"14","MRC-18A-3532",0.010615187471449,0.0153301590682515,0.0237886310004096,0.0985532344119025,0.00936576405166229,0.0351084202324358,0.0159330471058344,0.0155118802183058,0.0146995053193719,0.0419463278747928
"15","MRC-18A-3533",-0.000480621158451411,0.025946952925044,0.0278091516231399,0.0187792989848852,0.00622947482148383,0.0279365648438519,0.0174252158422705,0.0158694901854145,0.0124649490107309,0.0199915950487372
"16","MRC-18A-3536",0.00179451059624378,0.0173757024427178,0.027004891499473,0.0211828976763811,0.0201205722228419,0.0290525337854387,0.0144240012946126,0.00999019910086226,0.0127227625371781,0.0177138393466458
"17","MRC-18A-3541",0.0046344611139286,0.0286498666108342,0.0347696367308599,0.0264544739930614,0.00126313364546692,0.0274664922781926,0.0286431981274633,0.0202031596559669,0.0144591702508253,0.0253577114761289
"18","MRC-18A-3547",0.00326631764196647,0.0129779334204698,0.0274770559750003,0.0263254322349565,0.0033359894841977,0.0286431155767331,0.0197214250152711,0.0222154737659632,0.0121831775716397,0.00922523927267786
"19","MRC-18A-3559",0.0110101165075984,0.0236949489632148,0.0212937284625339,0.0341916893069837,0.014047458082945,0.0321027810015535,0.0204388078826757,0.0122511256880814,0.0185391077766071,0.0194125499445771
"20","MRC-18A-3560",0.00629586615051118,0.0173785860881332,0.0256212778918445,0.0346851482044401,0.0145720581866666,0.0414992657667354,0.0217992654011062,0.0144618001631419,0.0203739281625993,0.0178537537019273
"21","MRC-18A-3561",0.00383050334451671,0.0236903971339344,0.0262596221619132,0.0375467329353033,0.0197214345371901,0.0344083651556156,0.0277540125908137,0.0135712121702565,0.0202001734345314,0.0187654929517753
"22","MRC-18A-3554",0.00471770090918758,0.0199358355851332,0.0221731519362003,0.109940914224431,0.0179897657799578,0.0277474711285494,0.0144603355320722,0.0129891487852029,0.0181527288706152,0.0302033310516652
"23","MRC-18A-3555",0.0129856701592953,0.0205773891602802,0.0229593724317761,0.0191479388080273,0.0058763641850425,0.0298205786634929,0.0192878762024584,0.00876641702861496,0.0162536963663262,0.0102327188889461
"24","MRC-18A-3556",-0.000799863438678084,0.0275225421258768,0.0234168798332375,0.100034029633945,0.0202848511127358,0.0245429215174598,0.0136599520117889,0.00920855802660108,0.0138920088923363,0.0140467544479126
"25","MRC-18A-3557",0.0053148616487735,0.024289690936835,0.0253593078007708,0.0280922226070957,0.0138442725805519,0.0281680948453011,0.0177049805021146,0.0100906003501711,0.013614831368326,0.0144132650733982
"26","MRC-18A-3558",0.0107499364582802,0.0226215402018456,0.01759447735689,0.0318234454917402,0.0177956385596648,0.0308303678110301,0.0229031833437329,0.0141922805538671,0.0229232830253742,0.0392902664676731
"27","MRC-18A-3569",0.0159152123170456,0.0266784622445782,0.0227487359645285,0.0427448843079507,0.0239784581437865,0.0212281232597011,0.0304741994680382,0.0192914903030911,0.0142337351253003,0.0234836332000476
