"","Name1","score","score.1","score.2","score.3","score.4","score.5","score.6","score.7","score.8","score.9"
"1","MRC-18A-2045",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","MRC-18A-2372",-0.00118073876197521,0.0189077100132978,0.0765789654586988,0.0132347828807198,0.0253497376516483,0.00709029668791622,0.0230811052094286,0.0099653443928439,0.0125112607293778,0.0254459612529604
"3","MRC-18A-2376",-0.0080744920688921,0.015134495293916,0.0180093955994283,0.0114110252889574,0.0141789990405944,0.00783418952714264,0.020295080777593,0.0464643269957874,0.0107223712838992,0.0161871652010924
"4","MRC-17A-1027",0.000479456488638545,0.019404265469848,0.0750895279284086,0.0176727416396463,0.0212134176423975,0.0205664486883052,0.0238979769117923,0.0636892037733527,0.0151679937091421,0.00837513289738113
"5","MRC-17A-1045",-0.168740888952625,0.0169489676242877,0.0356956949153836,0.0140557225007429,0.012106125234875,0.0177834664772567,0.0158090020426962,0.0220375310567155,0.0143845428461846,0.0169250325092303
"6","MRC-18A-1356",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","MRC-18A-1813",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","MRC-18A-1819",-0.170144377746619,0.0161972904289689,0.0292835087555814,0.0143172870785463,0.0132966918054682,0.0185701397878624,0.0184520009046144,0.0212849360668788,0.0151287270323054,0.00986137804143633
"9","MRC-18A-1821",0.429624987299692,0.252512659416829,0.422558255503058,0.280847739051471,0.493053680822482,0.521097145122472,0.298567568683931,0.435572195620711,0.0824456158037596,0.473382122527898
"10","MRC-18A-2043",0.000870113374833842,0.0192568828903503,0.0707829264972568,0.015421108789158,0.0185694913398176,0.018088051740769,0.0184366276362418,0.0220086700418351,0.0149747580307785,0.0235729287915969
"11","MRC-18A-3529",-0.166556165017457,0.0173208230796487,0.070934944959355,0.0175062781435643,0.0193937851318694,0.0162254073046442,0.0591309126021285,0.0673019384153193,0.0117559043633672,0.0207089610977776
"12","MRC-18A-3811",-0.00186032419362926,0.0160521137998074,0.0272359531827133,0.0154365471556766,0.0153443366374128,0.0168852392391666,0.0234989984656123,0.010585490659931,0.0146421410635525,0.0227774666747482
"13","MRC-18A-3844",-0.00078707004444458,0.0178492560989207,0.0698310204575625,0.0172208913360013,0.0209645477490752,0.0226016059058356,0.0246339099404754,0.0241513432401492,0.0151307151516553,0.019586537089877
"14","MRC-18A-2531",-0.164608001647737,0.0203352709156597,0.063519957030401,0.0189332586046601,0.0129850288084076,0.0201009191799361,0.0147681802918234,0.0087066487751658,0.0160121719435863,0.0190677708451967
"15","MRC-18A-2884",-0.169746392194702,0.0220948946323649,0.0229864306733277,0.0173402094752701,0.0307362455213472,0.0143207994174062,0.0129413946714118,0.0213068581553216,0.0128248640544184,0.0141924330812118
"16","MRC-18A-3241",-0.00283932620944852,0.022465984183402,0.0223992960392948,0.0156819308455395,0.00871373464397259,0.016763658287198,0.0240260386714411,0.0586569425278797,0.0149928403872463,0.0141993045322979
"17","MRC-18A-3253",-0.000855910679110228,0.0172338175930889,0.0205243240700284,0.0136423435822828,0.00899635304019743,0.01441947846607,0.0198976179858504,0.00435244171221334,0.0131626776550678,0.0118835568541342
"18","MRC-18A-3481",-0.0015448427037032,0.0210557541382855,0.026795033532881,0.0157019288391089,0.0154497934118028,0.0225024109216654,-0.0571955370113875,0.0120374965706298,0.0134343283989591,0.0154951579792601
"19","MRC-18A-3501",-0.163988744407881,0.0165267494445887,0.0569880056320399,0.0178833014404358,0.016836281398938,0.0160358152332972,0.0379288651259018,0.0651505788874259,0.0163424059123623,0.0251528224013316
